1,0,02/25,1,Ｃ大阪,1-1,横浜FM
2,6,03/02,0,柏,2-0,横浜FM
3,8,03/10,0,横浜FM,1-2,鳥栖
4,8,03/18,3,浦和,0-1,横浜FM
5,13,03/31,3,清水,0-1,横浜FM
6,8,04/08,1,横浜FM,1-1,川崎Ｆ
7,3,04/11,0,広島,3-1,横浜FM
8,4,04/15,0,横浜FM,1-2,神戸
9,6,04/21,1,横浜FM,4-4,湘南
10,4,04/25,0,札幌,2-1,横浜FM
11,3,04/28,3,横浜FM,3-0,鹿島
12,4,05/02,0,横浜FM,1-3,磐田
13,3,05/05,1,名古屋,1-1,横浜FM
14,7,05/12,1,横浜FM,1-1,Ｇ大阪
15,7,05/19,3,横浜FM,5-2,長崎
16,60,07/18,3,仙台,2-8,横浜FM
17,4,07/22,0,FC東京,5-2,横浜FM
18,10,08/01,0,横浜FM,1-4,広島
19,4,08/05,0,川崎Ｆ,2-0,横浜FM
20,6,08/11,3,湘南,0-1,横浜FM
21,4,08/15,0,横浜FM,1-2,名古屋
22,4,08/19,0,鹿島,1-0,横浜FM
23,7,08/26,3,神戸,0-2,横浜FM
24,3,08/29,0,横浜FM,1-2,清水
25,3,09/01,3,横浜FM,3-1,柏
26,15,09/16,0,横浜FM,1-2,浦和
27,6,09/22,3,磐田,1-2,横浜FM
28,7,09/29,3,横浜FM,5-2,仙台
29,6,10/05,3,横浜FM,2-1,札幌
30,15,10/20,0,Ｇ大阪,2-1,横浜FM
31,14,11/03,0,横浜FM,0-1,FC東京
32,7,11/10,3,長崎,0-1,横浜FM
33,14,11/24,0,鳥栖,2-1,横浜FM
34,7,12/01,0,横浜FM,1-2,Ｃ大阪
